description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,net_generation,2019
Kansas : independent power producers,thousand megawatthours,ELEC.GEN.WND-KS-94.A,40,467,364,356,425,885,847,1344,2221,2586,2702,4343,8516,9943,10115,13281,16932,16992,19564
Kansas : all commercial,thousand megawatthours,ELEC.GEN.WND-KS-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15,16,15
Kansas : all industrial,thousand megawatthours,ELEC.GEN.WND-KS-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Minnesota,thousand megawatthours,ELEC.GEN.WND-MN-99.A,,,,,,,,,,,,,,,,,,,
Minnesota : all sectors,thousand megawatthours,ELEC.GEN.WND-MN-99.A,897,906,978,812,1582,2055,2639,4355,5053,4792,6726,8176,8259,9691,9779,9933,11137,10714,11040
Minnesota : electric power,,ELEC.GEN.WND-MN-98.A,,,,,,,,,,,,,,,,,,,
Minnesota : electric utility,thousand megawatthours,ELEC.GEN.WND-MN-1.A,--,0,0,3,3,15,25,51,383,390,1379,1613,1762,1941,2152,2646,2656,2405,2397
Minnesota : independent power producers,thousand megawatthours,ELEC.GEN.WND-MN-94.A,897,906,978,809,1580,2040,2613,4303,4670,4390,5324,6535,6469,7720,7598,7259,8455,8284,8618
Minnesota : all commercial,thousand megawatthours,ELEC.GEN.WND-MN-96.A,--,--,--,--,--,--,--,--,--,12,23,28,28,30,29,29,26,25,25
Minnesota : all industrial,thousand megawatthours,ELEC.GEN.WND-MN-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri,thousand megawatthours,ELEC.GEN.WND-MO-99.A,,,,,,,,,,,,,,,,,,,
Missouri : all sectors,thousand megawatthours,ELEC.GEN.WND-MO-99.A,--,--,--,--,--,--,--,203,499,925,1178,1245,1167,1131,1033,1122,2032,2835,2872
Missouri : electric power,,ELEC.GEN.WND-MO-98.A,,,,,,,,,,,,,,,,,,,
Missouri : electric utility,thousand megawatthours,ELEC.GEN.WND-MO-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri : independent power producers,thousand megawatthours,ELEC.GEN.WND-MO-94.A,--,--,--,--,--,--,--,203,499,925,1178,1245,1167,1131,1033,1122,2032,2835,2872
Missouri : all commercial,thousand megawatthours,ELEC.GEN.WND-MO-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Missouri : all industrial,thousand megawatthours,ELEC.GEN.WND-MO-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska,thousand megawatthours,ELEC.GEN.WND-NE-99.A,,,,,,,,,,,,,,,,,,,
Nebraska : all sectors,thousand megawatthours,ELEC.GEN.WND-NE-99.A,3,8,38,38,97,261,217,214,383,422,1051,1284,1802,2737,3180,3798,5084,5549,7414
Nebraska : electric power,,ELEC.GEN.WND-NE-98.A,,,,,,,,,,,,,,,,,,,
Nebraska : electric utility,thousand megawatthours,ELEC.GEN.WND-NE-1.A,3,8,38,38,97,261,217,214,218,213,229,212,219,226,218,192,166,169,290
Nebraska : independent power producers,thousand megawatthours,ELEC.GEN.WND-NE-94.A,--,--,--,--,--,--,--,--,165,208,822,1072,1583,2511,2963,3606,4918,5380,7125
Nebraska : all commercial,thousand megawatthours,ELEC.GEN.WND-NE-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Nebraska : all industrial,thousand megawatthours,ELEC.GEN.WND-NE-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
North Dakota,thousand megawatthours,ELEC.GEN.WND-ND-99.A,,,,,,,,,,,,,,,,,,,
North Dakota : all sectors,thousand megawatthours,ELEC.GEN.WND-ND-99.A,--,--,59,215,220,369,621,1693,2998,4096,5236,5275,5519,6202,6506,8172,11359,10733,10754
North Dakota : electric power,,ELEC.GEN.WND-ND-98.A,,,,,,,,,,,,,,,,,,,
North Dakota : electric utility,thousand megawatthours,ELEC.GEN.WND-ND-1.A,--,--,7,6,5,6,7,7,372,879,1120,1256,1707,1953,2622,3905,4651,4127,4096
North Dakota : independent power producers,thousand megawatthours,ELEC.GEN.WND-ND-94.A,--,--,52,209,215,363,614,1687,2625,3216,4116,4019,3812,4250,3883,4267,6708,6604,6654
North Dakota : all commercial,thousand megawatthours,ELEC.GEN.WND-ND-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NM,NM
North Dakota : all industrial,thousand megawatthours,ELEC.GEN.WND-ND-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Dakota,thousand megawatthours,ELEC.GEN.WND-SD-99.A,,,,,,,,,,,,,,,,,,,
South Dakota : all sectors,thousand megawatthours,ELEC.GEN.WND-SD-99.A,1,6,44,158,158,149,150,145,421,1372,2668,2354,2688,2336,2498,3714,2958,2835,3015
South Dakota : electric power,,ELEC.GEN.WND-SD-98.A,,,,,,,,,,,,,,,,,,,
South Dakota : electric utility,thousand megawatthours,ELEC.GEN.WND-SD-1.A,1,6,5,5,6,6,5,5,5,5,509,667,610,686,831,991,908,849,843
South Dakota : independent power producers,thousand megawatthours,ELEC.GEN.WND-SD-94.A,--,--,39,153,152,143,145,140,416,1367,2160,1687,2078,1650,1667,2723,2050,1986,2172
South Dakota : all commercial,thousand megawatthours,ELEC.GEN.WND-SD-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Dakota : all industrial,thousand megawatthours,ELEC.GEN.WND-SD-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Atlantic,thousand megawatthours,ELEC.GEN.WND-SAT-99.A,,,,,,,,,,,,,,,,,,,
South Atlantic : all sectors,thousand megawatthours,ELEC.GEN.WND-SAT-99.A,--,9,170,161,154,174,168,392,742,943,1378,1611,1713,1780,1816,1971,2719,2888,2843
South Atlantic : electric power,,ELEC.GEN.WND-SAT-98.A,,,,,,,,,,,,,,,,,,,
South Atlantic : electric utility,thousand megawatthours,ELEC.GEN.WND-SAT-1.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
South Atlantic : independent power producers,thousand megawatthours,ELEC.GEN.WND-SAT-94.A,--,9,170,161,154,174,168,392,742,943,1373,1608,1708,1775,1811,1966,2714,2883,2838
South Atlantic : all commercial,thousand megawatthours,ELEC.GEN.WND-SAT-96.A,--,--,--,--,--,--,--,--,--,--,5,4,4,5,5,5,5,5,5
